Puan	Yorum
1.0	henüz kitabı okumadım fakat hepsi buaradaya teşekkür etmek istedim.ürünü sabaha karsı saatlerde vermiş olmama ragmen aynı gün öğlen elimdeydi.hepsi burada çalışanlarına kaliteli hizmetinize teşekkür ederim.ayrıca ürünleri iki ayrı paket halinde gün içinde ikinci sefer getiren güler yüzlü teslimat biriminizdeki arkadaşa ayrıca teşekkür ederim.uzun zamandır internetten farklı sitelerdende alışveriş yapan biri olarak söylemek isterim ki ne boyle düzgün teslimatlar yaşadım ne zamanında geldi ne getirenler bu kadar normaldi.tabi istisnalar hariç ama genelde saçma sapan paketlenmiş ürünler ve al su kargonuda bitsin şu işim ooofff surat şekline sahip kargoculardan sonra hepsi burada beni çok şaşırttı.tekrardan teşekkür ederim.yanlış birşey olduğunda çılgın gibi şikayetlerini dile getiren biz tüketiciler menun kalındığındada bi o kadar açıklayıcı yazmalıdırlar bence.iyi çalışmalar dilerim. 
1.0	Kaliteli ve orijinal baskı,Dan Brown'ın son kitabı Başlangıç ile beraber cuma günü akşam sipariş verdim,pazartesi öğlen Ankara'da teslim edildi,çok teşekkürler :
1.0	Kitap hem ucuz hem ince , okuma alışkanlığı olmayan her kesimden insana önerilebilir , hediye edilebilir. Özellikle gençlere ve çocuklara şiir sevdirmek için birebir
1.0	Oyun güzel fakat kartlarda renkler soluk kırmızı turuncu mavi mor yesil.bunlar daha belirgin olmali.
1.0	Herkezin okuması gerektiğine inandoığım dir kitap.
1.0	Kargo hızlı, ürün kutusunda, kemana değen mandallari kauçuk, oldukca beğendim...
1.0	Sürükleyici bir o kadar da duygusal,şimdi kıymetini bilmediğiniz insanların nasıl da canının yandığını bu kitapta görüyoruz.Bazen Mecaz Adam olmak gerekiyor uzaktan izlemek sevdiğini...
1.0	faydalı bir kitap, teşekkür ederiz
1.0	Memnunum
0.0	Bu kitabı birtek ben mi beğenmedim acaba. Yorumlara aldandım. Bir kere daha ilk sayfadan olumsuz başlıyor. Çocuğunu dinlemeyen, ona inanmayan bir aile izlenimi var.Daha çok ailelere ders verici ama çocuğa yanlış etki yapabilir. İsmi bile olumsuz. Aynı Yazarın diğer kitabı &quot;Köpekler Bale Yapmaz&quot; gibi. İçerikte aileler sürekli &quot;olmaz&quot; cı. Çocuğumu üzdü.
0.0	Dönüşüm kitabını okuyan bence bu seriyi almaz :
1.0	Kesinlikle iş görür, tavsiye ederim
1.0	ÇOK SEVEREK ÇOK KISA SÜREDE OKUDUM. BASİT AMA KEYİFLİ VE GÜZEL TAVSİYELER VEREN BİR KİTAP...
0.0	Hayatınızda hiç bilim haberi bile okumadıysanız bayılacaksınız, onun dışında ortaokul seviyesinde.
1.0	Ürünü uzun araştırmalar sonucu ve burda bulunan yorumlara bakarak aldım. Gayet sağlam ve kaliteli bir ürün. Üç bataryalı olması ayrıca bir avantaj ve Bataryaların şarj edilme şekilleri çok hoşuma gitti.. satıcıya ve Hepsiburada.com teşekkür ederim
1.0	ÜRÜNÜ BİR ARKADAŞIMIN TAVSİYESİ İLE ALDIM. HEM 4 YAŞINDAKİ KIZIM İÇİN HEMDE 10 YAŞINDAKİ OĞLUM İÇİN DİKKAT GELİŞTİRİCİ BİR ÜRÜN. AİLECEKEĞLENCELİ VAKİT GEÇİRMEK İÇİN ÇOK GÜZEL.
1.0	Livanelinin kitaplarını zaten çok severim. Bu sebeple hep beğeneceğimi düşünerek okumaya başlıyorum. Bu da öyle oldu. Kitap alışkın olduğum türlerden farklı. Farklı bir hikaye iki kişinin ağzından anlatılmış. Bence çok keyifli. Tavsiye ediyorum...
1.0	Sabahattin Alinin en güzel eseri bu bence.Kitabı okurken sanki o anları yaşıyor gibi oluyorsunuz.Çok sade ve güzel anlatımlı.Okumanızı tavsiye ederim.
1.0	Yine muhteşem bir kıraç eseri Özellikle &quot;Senden Başka&quot; ve &quot;Razıysan Gel&quot; şarkılarının hem müziği hem de sözleri çok güzel Müzik arşivinizde olması gereken bir albüm
1.0	24 saatten daha kısa bir sürede ürünü teslim aldım.Akşam oğluma süpriz yapacağım. İlginize teşekkür ederim
0.0	özellikle yabancı kaynaklı kitaplardan çekiniyorum adlarını farklı çeviri yapan kişinin akıcı yapamama durumu bu kitabı zevksiz kılmıştır.Beğenmedim.
0.0	maalesef ürünler resimdeki kadar renkli değil onun haricinde gönderim hızlı paketleme guzel
0.0	Resimde göründüğü gibi ama çok küçük oyuncak gibi oynanmıyor ve kargoya verme süresi berbat kargo şirketi ayrı bir rezil kesinlikle almayın
1.0	tebrikler
1.0	Çok iyi kurgu.Tamamiyle içine çeken bir hikaye.Sonuna kadar tavsiye ederim.
1.0	Hızlı ve temiz gönderi için teşekkürler. Tavsiye ederim, hayata farklı bir yönden bakmanızı sağlıyor. Yer yer bizlerinde içinden yapmak istediği bazı davranışları yapan biriyle tanışacaksınız.
1.0	sipariş verdikden 1 gün sonra teslim edildi elime ulaştı kardeşime aldım ve çok güzel ses vermesi müzik çalması herşeyi ile 10 numara tavsiye ederim alcak olan kişilere paketlemsi ile de ayrıca teşekkür ederim sağlam bir paketleme
1.0	Okunması gereken kitaplardan biri olduğunu düşünerek aldım ve beklediğimden daha kısa sürede,sorunsuz bir şekilde elime ulaştı teşekkürler...
1.0	Kitabı yeni okumaya başladımbeni hemen içine çekti şimdidenbunun filmi nasıl olucak merak etmeye başladımfantastik dünyatavsiye ederim mutlaka okuyun
1.0	Yazarın ilk okuduğum kitabı 2. kitabı olan &quot;Kalbin temizse hikayen mutlu biter&quot; di. Çok beğendim defalarca okunup,not alınması gereken bir başucu kitabı. Daha sonra&quot; Ben ney'im &quot; kitabını okudum. 2. kitabı kadar olmasa da yine çok güzel. mutlaka okunmalı. Her ikisi de kitaplıkta yerini alıp, zaman zaman karıştırılmalı.
1.0	Olağanüstü bir kitap. kitap sizi kendi dünyasına öyle bir çekiyor ki bitirmek için sabirsizlaniyorsunuz. bitirince ufak çaplı bir bunalim sizi bekliyor hem kitap bitmiş hem okuduklarıniz sizi etkilemiş oldugundan.okumayanlar icin hayvan çiftliğini de öneririm.
1.0	iyi bence telleri saglam paraya deger
1.0	gerçekten çok güçlü ve güzel bir ürün.
1.0	Çok güzel bir set olmuş kesinlikle tavsiye ederim.
1.0	güzel bir kitap çırağını da sipariş verim
1.0	Hızlı kargouygun fiyat. Alınır.
1.0	iyi bir kitap teşekkürederim
1.0	Ürün çok kısa bir sürede elime ulaştı bu seti almadan önce çok araştırma yaptım bu set içerisinde 3 adet çok güzel etkinlik kitabı bulunmakta bu set tam benim çocuğuma göre bir set herkese tavsiye ederim iç görselliğide harika.
0.0	ürün komple çince yazılı kibrit kutusu kadar. kola ile suyun ph ı aynı çıkıyor kullanım tarihi geçmiş elektronik olanını almak daha mantıklı
0.0	ürün gorseldekiyle uyusmuyor burgular bakalit cikti
1.0	TEŞEKKÜRLER
0.0	Urun güzel fakat alt tarafta bi yerde ezilme var ice doğru onun dışında güzel urun 
1.0	çocuğuma mutlaka birşeyler katacaktır. beğendik. kızım çok sevdi. kitapla yatıyor.
1.0	Çok güzel bir ürün tavsiye ederim
1.0	Kitaplar 1,5 yaşındaki oğlumun çok ilgisini çekti. zaten eliyle tamamen kavrayabileceği boyutta olması ve dayanıklı malzemesi önemli bir avantaj. Bu yaşlardaki bebeklerin yırtma parçalama merakı olduğu için daha önce almış olduğum birçok kitap ziyan oldu. Bu kitap setini uzunca zaman kullanabilir. 
1.0	Teşekkürler ürün güzel, kargo hızlı
1.0	insanı alıp götürüyor.. içten içe bir o krakter bir diğer krakterin benliğinde düşüncelerinde yer almak.. harikaydı..
1.0	Bence olayın hikayesinden çok, vurgu yaptığı meseleye, artık son zamanlarda iyice belirginlesen ve gün yüzüne çıkan çocuk tacizi ve etkileri ve de psikolojik bakış açısı yönünden iyi ele alınmış. hikayede iyi bir bütünlük sağlanmış. teşekkürler ahmet ümit.süper hızlı gönderi içinde teşekkürler H.B.
1.0	Dış boya veya metal soyulmadığı yazdığı için aldım umarım soyulmaz ürün ölçüleri var aslında ama ben biraz daha büyük bekliyordum 
1.0	Bu oyunu birlere oynadım ama gercekten çok zevkli bir oyun. Kalabalık ortamları zevkli bir ortama çevirmek için kullanılabilir oldukça eğlenmiştik oynarkendetavsiye edebilirim
1.0	Pisman olmayacaksınız. Kısa sürede bitirip yakınlarınıza tavsiye edeceksiniz.
0.0	Arka kapağı açıp pazarda limon satmak için kullanırsanız daha çok işe yarar. Leş ötesi bir gitar. Sap berbat. Akord tutmuyor. 3. Perdeden sonra cızırtı yapıyor bareli akorlarda. Eline aldığın anda buram buram kalitesizlik kokuyor. Videodaki gitar ile de alakası yok gelen ürünün. Kesinlikle almayın. Yeni başlayanı bırakın eve süs olarak bile alınmaz. Valencia nın çok güzel modelleri var az daha yüksek fiyata. Onlara yönelin. Pişmanlık duymayın
1.0	Ürün çok hızlı bir şekilde elime ulaştı. Ayrıca Mağazanın ürünü hediye paketi yapması ve üzerine not eklemesi de çok ince bir düşünceydi. İlgileri ve ince fikirleri için mağazaya teşekkür ederim.
1.0	Harika bir kitap, sıkılmadan merakla daha neler öğreneceğim diyerek okuyorsunuz
1.0	Ürün denildiği gibiydi ve çok hızlı geldi teşekkürler.
1.0	yeni başlayanlar için harika bir ürün. tam bir fiyat performans ürünü. mağaza hızlı kargoladı. tavsiye ediyorum.
1.0	Diğer yorumlarda da yazdığı gibi kartlar çift taraflı olduğu için oynarken kolaylık sağlıyor.arka kısımda cevaplar var. Kartlar ve bardaklar yeterince büyük. Renkler canlı. Kızım çok beğendi.
1.0	kitabı aldıkta sonra bağlanıyorsunuz ve elinizden bırakamıyorsunuz konular olaylar bağlantılar biraz istatistik biraz matemetik biraz kuantum fiziği herşey var kitapta arşivde olması gerekir. mutlak okunmalı.
1.0	Ürün kısa sürede elime ulaştı.Kaliteli ve sağlam bir ürün.Kolay kullanımı ve 3 batarya harika.Oğluma güzel bir karne hediyesi oldu.Teşekürler hubsan.
1.0	Hepsi expressle iki günde elime ulaştı başlangıç seviyesi için hazırlık okudum 9. Sınıfa geçeceğim seneye 10. Sınıfa geçmem gerekirken matematiğim biraz köreldi Kesinlikle öneriyorum Tarih=24.05.2018
1.0	kalitesine gore uygun bir ürün
1.0	Her evde olması gereken bir kitap 
1.0	Basit ama çocukların ilgisini çekiyor. Kağıt dokusu kaliteli.
1.0	Hediye paketi ve içinden çıkan 2 şeker ve kurşun kalem için teşekkürler. Bu sene sınav senemiz, iyi bir moral oldu.
1.0	Zevkle okunan bir kitap. Yazar hem kendi yaşamından kesitler vermiş, hem de yakın tarihimizde yaşanan ve çoğunu unuttuğumuz bir çok olayın içyüzünü anlatmış. Elden bırakılmadan bitiverdi.
1.0	Ürün anlatıldığı gibi özenli kargo yapılmış ve çok hızlı bir şekilde kargolandı teşekkür ederim
1.0	Ürün gayet kaliteli duruyor, uzun zaman yorumları okuyarak araştırarak karar verdim ve aldım.Umarım faydasını görürürüz. Satıcı gayet ilgili, hızlı tepki veriyor ve iyi bir esnaf olduğu belli, teşekkür ederim.
1.0	Öyle güzel bir kitap ki üzerine belki 20 kitap okudum ama bu kitap gibisini okumadım.. Insanın içine işleyen bir kitap. H&#226;l&#226; kitap aklıma geldikçe boğazıma bir düğüm oturuyor.. Efsane.. Mutlaka okumalısınız..
1.0	süper 
1.0	Ürün, kargo, kargo süresi harika. Mıknatıs çok güçlü birbirinden ayırmak çok ciddi güç istiyor. Yalnız dikkat edin. Uyardıkları gibi çok kırılgan. Benim çocuklar ilk yarım saatte kırdılar. Üstelikte kendi çekim gücüyle kırıldı. 
1.0	Tavsiye ederim güzel.cocugum da beğendi. 2 yasinda
1.0	Ürün paketlemesi ne iyi ne kötüydü siparişten itibaren 2 gün içinde elime ulaştı. Ürün gayet zevkli ve kullanışlı başlangıç seviyesi için bi tık üst olabilir küçük dronelar ile başlamak daha mantıklı, ürünün kamerası çok tatminkar derecedefotoğraf için iyi olabilir ama video fps i düşük kalıyor ve pek iş yapmaz bu fiyata yeterli olduğunu düşünüyorum. Kameralı kullanım yaklaşık 8 dk kamerasız 10-15 dk arası kullanıma bağlı olarak,malzeme kalitesi iyi 4-5 kez çarptım ufak çizikler haricinde birşey olmadı tavsiye ederim keyif alırsınız.
1.0	Çok memnun kaldık. Çok kolay monte edilebilecek şekilde hazırlamış , benkendim hiç zorlanmadanbirleştirdim. Güzel paket ve hızlı kargo. Teşekkürler
0.0	Atatürk’ü ve kadınları küçümseyen kadını bile insan olarak gördüğü tabir edilen bi kitap nasıl sevildi bu kadar gerçekten değişik ve üzücü
1.0	Resimdekinin aynısı. Taşlar biraz büyük denmiş ama küçük yakışmazdı bu takıma.Teşekkürler
1.0	Güzel &#128077;&#127995;
1.0	Kaliteli ürün,Hızlı Kargo, Teşekkürler Hepsiburada 
1.0	Görsel anlamda da içerik anlamında da çok eğlenceli ve bebişimin uyku kitabı oldu..
1.0	çok güzel tavsiye ederim, çocuğunuz çok sevecek
1.0	Gönderimden ötürü sıkıntı yok ürün gayet başarılı rengi fotoğraftaki kadar parlak değil sadece doğru tercih yaptığımı düşünüyorum 
1.0	paketlemesı harıkaydı ama ölçülerinde bir sıkıntı var
1.0	Bu kitap bence muhteşem yazılmış bir roman, ben tarihi çok sevmeyen çok sıkılan bir kişiydim ama bu romanı okuduktan sonra tarihi sevmeye başladım. Turgut Özakmana sonsuz teşekkürler bize tarihi bu şekilde güzel anlattığı için, bu muhteşem kitabı sakın kaçırmayın...
1.0	güzel bir kitap biz sevdik
1.0	Harika kargo elime çok hızlı ulaştı çok güzel paketlenmiş teşekkürler hepsi burada
1.0	 Yunus emreyi yalnızca bir halk şairi olarak biliyordum . Meğer bilgim ne kadar eksikmiş . Rabbinin huzurunda kendini bile bilmeyi unutmuş tüm kalbini aklını Allah sevgisiyle doldurmuş tasavvufi bir derviş imiş . Ben çok beğendim 
1.0	48 saatten kısa bir süre içinde geldi. Güzel şekilde paketlenmişti. Ürün hakkında ilk izlenimlerim olumlu. Uyduruk bir ürün değil.
1.0	ürün kesinlikle çok kaliteli, bittiğinde resimdekinden çok daha güzel görünüyor. kesinlikle emeğinize değiyor
1.0	Sürükleyici, bazen sıkıcı olsa da.. 
1.0	Çok beğendim
1.0	Bittiğinde ortaya çıkan görüntü muhteşem 
1.0	Gayet kaliteli ve kullanışlı. Hızlı teslimat.
0.0	Eğer profesyonel kayıt yada amatör kayıt yapacaksanız hiç bakmayın.Ama bilgisayara bağlayıp eş dost arasında kullanmak için yeterli.Bilgisayara bağlamak için jack küçültücü almanız gerekiyor unutmayın.
1.0	çok güzel büyük bir kitap. kızım kelebekleri göstermeyi çok seviyor. hikayesi saçma değil memnunuz
1.0	fiyatına göre güzel. tavsiye edilir.
1.0	ilkokul 1. sınıfa giden kızım bu kitapları çok sevdi Hatta her kitabı 2 defa okudu kendi isteğiyle. Ata' miz ile ilgili öyle güzel bilgiler veriyor ki. Ben de bilmediğim şeyler öğrendim. Anlatımı çok güzel. sıkmadan akıcı bir şekilde anlatılmış ve bol bol resmi var. Her çocuğun okuması gereken bir kitap. Okusunlar ki ileride cahil olmasınlar ve cahillerin Ata'm hakkında yalan yanlış soylemlerine inanıp onlara katilmasinlar. Emeğinize sağlık Yılmaz Özdil
1.0	ben kitabı ingilizceden okudum : türkcesi içinde ön sipariş verdim.. bu kitapta olaylar çözülüyor.. bir çok kişi ölüyor ve iyi kötü ortaya çıkıyor: 700 sayfalık bir kitap olmasına ragmen bi çırpıda okunuyor..
1.0	ilk 2 sayfadaki taşıtlarve son iki sayfadaki taşıtlar aynı. Basım hatası mi değil mi anlayamadim.
1.0	Güzel ve kaliteli, uzun zamandır kullanıyorum tek kusuru alttaki vidaları zamanla gevşiyor onlarda sıkılınca bir şey kalmıyor teşekkür ederim.
1.0	hepsiburadaya kısa zamanda elime ulaştırdığı için teşekkürler...
1.0	tabu xl çok güzel bir oyun eğlenceli bu oyunu oynarken kendinizden geçeceksiniz.bana iki gün içinde geldi.biraz pahalı ama çok zevkli bir oyun
1.0	Ulaşma zamanının geç olması dışında sıkıntı olmadı.
1.0	cok begendik kargo biraz gec geldi ama olsun 
1.0	iyi fiyat
0.0	Kitabın içeriği tabii ki çok güzel, ama kenarları ezilmiş geldi.
0.0	İKİ TANE ALDIM İKİSİ BİRBİRİNDEN FARKLI SES KALİTESİ VAR. ZATEN BOYALARI VE YAZILARI DİĞERİNDEN SOLUK. KAPALI ALANDA KESİNLİKLE GEREKSİZ BİR ŞEY SESSİZ BİR ODADA LOGİTECH 4K NINYADA LAPTOPUN MİKROFONKALİTESİDAHA İYİ . ZATEN MİKROFONU AĞZINA SOKMADAN SES ALMIYOR . ÇOK PİŞMANIM GERİ VERMEYE DE ÜŞENDİM AÇIKCASI .BENCE AÇIK ALANDA UZAK MESAFEDE ÇEKİMLERİ İÇİNDİZYN EDİLMİŞ BİRALET . OYLE DURUYORLAR ŞİMDİ 
1.0	Öncelikle hızlı kargo için teşekkür ederim. Her ailenin çocuğuna okul öncesi eğitimi için alması gerekli bir yardımcı yayın.Bundan önce bir alt yaş kategorisindeki z kareyi almıştım ve çok faydasını gördü çocuğum. Şiddetle tavsiye ederim. Fiyatı da diğer sitelere göre çok uygun.
1.0	Arkadaslar ben ailemle sorunlarim oldugu icin bunu babama hediye olarak aldim . Begendi okuyor . Her anne baba okumali .
1.0	48 saat içinde daha önce hiç 520 sayfalık kitap okumamıştım.son sayfalara doğru üzülmeye başladım bitiyor diye. Çok kısa özetini vereyim GAZİMUSTAFA KEMAL ATATÜRKÖmrünü hep sanki filmin sonunu görmüş gibi yaşamış Yani yaptıgı her işin nasıl yapılacagını bildigi gibi gerçekleşecegindende emin bi şekilde uygulamış İlahi bir güçümüvardı, yoksa bilgi birikim mi çok fazla idi yada her ikisidemivardı bilemiyorum ama bildigim bişey varsadünyada eşi benzeri olmayan bir liderdi ve böylecede kalacaktır.dünya durdukca GAZİ MUSTAFA KEMAL PAŞAyaşayacaktır.Teşekkürler Yılmaz Özdilteşekkürler hepsi burada. NE MUTLU TÜRKÜM DİYENE
0.0	İnanılmaz kalitesiz bir ürün. Hatta üretim hatası nedeniyle parçalardan bir tanesi eksik çıktı. Hiç memnun kalmadım.
1.0	Kitap günlük karşılaştığımız sorunlara ve onlarla nasıl baş edeceğimize dair anekdotlar barındırıyor. Ayrıca insanın hayallerinin peşinden gittikçe karşısına neler çıkabileceğine dair ışık tutuyor. Arakiyeci İbrahim Ağa'nın hikayesine de benzettim.
1.0	5 yıldızı hakeden bir Ahmet Ümit klasiği. Alın okuyun, tek kelimeyle beni etkileyen en iyi romanlarından biri.
1.0	Fiyatına göre görüntü kalitesi çok iyi. Ancak hafif olduğu içim rüzgarda çabuk savruluyor. Şarj için kablo ve Kuman’da gönderilmemesi de handikabı. Ama beğendim, tavsiye ederim başlangıç için.
1.0	gayet başarılı hazırlanmış bir ürün
1.0	Kitap mükemmel. Ulaştırma hızı şahane teşekkürler.
1.0	Harika Bisi Kaliteli Hizli Güvenilir ...
0.0	Yaklaşık 10 gün önce 2 saz parası sipariş ettim , bir saz geldi, firmaya ulaşamıyorum , hepsiburadaya bildirdim ama ses seda yok! 
1.0	öğleden sonra sipariş verdim, ertesi sabah elimdeydi.kitap baskı kalitesi, kargolama harika...
1.0	gerçektenn süper bi oyun geçen gün arkadaşlarla oynadık çok zevkli çok eylenceli ve sevdiğiniz bir arkadaşınıza bi şey anlatmak çok güzell herkeze bu oyunu almalarını tavsie ederm çok eyleniceklerinden eminim
1.0	evet beğendim gayet güzel ve teslimat çok hızlı
1.0	efsane serinin efsane baslangici herşeyi bilmeme rağmen 1 günde bitti alın okuyun
1.0	Güzel gitar 2 aydır kullanıyorum ebatlarida güzel fakat çin malı bilginiz olsun
1.0	çocukların ilgi odağı
1.0	Ürün geldi. Taşları eksikti. Hemen ilgilendiler ve yolladılar. Teşekkür ederim
1.0	kitabı okuyun sonra internetten filmini bulun izleyin daha çok etkileneceksiniz yazarın diğer kitaplarıda harika tavsiye ederim mutlaka okuyun
1.0	kitapta kücük bir hasar vardı ama önemi yok kitap muhtesemdi
0.0	Geldiği gün patladı. İçinden akışkan bir sıvı çıktı.
1.0	bu fiyata iyi bir ürün beklemiyordum beklemtimde fazlası şaşırdım
1.0	HIZLI VE TEMİZ KARGO..
1.0	Kitabı 4 kere falan okudum, filmini de aynışekilde bi çok kez izledim.. Ve hepsinde farklı bir tat aldım... Yeniden etkilendim... Feride&quot;nin hayatı herkesi etkileyeceğine eminim...
1.0	müzik öğretmen olarak akustik piyanoya bu kadar yakın piyano ancak bu kadar olur.yanında akademi müziğin göndermiş olduğu sony kulaklık ve kawai taburede son derece başarılı. paketlemesi kargo hızı yönünden de 10 puan.
1.0	Muhteşem, işte bu! Diziyle çok farklı, kesinlikle okumanız gerekiyor. Eksikleri vardı ve bende bu seti almaya karar verdim.
1.0	güvenilir ve hızlı kargolama teşekkürler
1.0	Kitap, bir kalabalığın önce toplum ve sonrasında farklı merhalelerden geçerek Ülke olma serüvenini tüm detayları ile anlatıyor.Fena değil. Farklı bir bakış açısı sunuyor insana.Yakın zamanda uygun şartlar oluşursa Doğu Avrupa'yı gezmeyi planlıyordum. Öncesinde bu kitabı okumam çok iyi oldu. Tavsiye edilecek bir kitap dost ve arkadaşlara...
1.0	Çok gğzel
1.0	HARİKA Bİ ORGANİZASYON , KARGOLAMA VE TESLİMAT.
1.0	kitabın ilk 100 sayfasında herşey çok karışık geliyor , ordan oraya atlıyor konular , fakat biraz daha ilerleyince bütün olaylar bir noktada kesişiyor , ve sonunda güzel bir süprizle karşılaşıyorsunuz. Mutlaka okunması gereken bir kitap...
1.0	fiyat çok uygun 1 sigara parası
1.0	Çok hızlı bir şekilde elime ulaştı.Alışverişimden çok memnun kaldım.Çok teşekkürler.
1.0	Süper hızlı kargo için teşekkürler
1.0	Yazarın diğer kitabı Uçurtma Avcısından sonra sürükleyici bir hikaye daha... Öyle ki etkisinde kalmamak mümkün değil.Kesinlikle okunması ve arşivde bulundurulması gereken iyi bir kitap.
1.0	Akedemimüzik satıcısına teşekkürler... Telin yanında ayrıca iki tane mızrap göndermişler. 
1.0	Çok faydalı, bilgilerini pekiştirici, 30 aylık oğlumun ilgisini ve dikkatini uzun süre çeken bir etkinlik kitabı oldu. Tavsiye ederim.
1.0	çok güzel bir kitap cok fazla sürükleyici. normalde hızlı okuyamam ama alalı 2 gün oldu suana kadar yarısına geldim. ama yavas okumak istiyorum hemen bitsin istemiyorum. almak isteyenler hiç düşünmeden alabilir. ayrıca ynnda kupa bardak ve içinde bi adet cay geldi. hepsiburada ya cok teşekkür ederim.
1.0	Ben beğendim bana göre pahalı olanlardan farkı yok
